# Frequency                gain                      delta_phi                
5.140127397045607722e+02 4.814896060163459390e-01 1.952979619129950883e-01
5.141352309139130057e+02 4.813155856910021346e-01 1.948451767122114653e-01
5.142577513133902585e+02 4.812294574916819445e-01 1.920811126152663917e-01
5.143803009099491419e+02 4.818168029923426965e-01 1.904276054350555469e-01
5.145028797105474041e+02 4.816643342427355812e-01 1.883457231270488919e-01
5.146254877221443849e+02 4.815760475370341465e-01 1.859695096923568158e-01
5.147481249517013566e+02 4.820629155804849741e-01 1.860644497044434686e-01
5.148707914061809561e+02 4.819657802213819231e-01 1.832751083520838264e-01
5.149934870925476389e+02 4.825387858075144143e-01 1.828112455936503622e-01
5.151162120177673387e+02 4.822270350070598233e-01 1.810486497788930116e-01
5.152389661888084902e+02 4.821258519239444706e-01 1.781237630619818546e-01
5.153617496126394144e+02 4.818002506382698114e-01 1.754989484620073092e-01
5.154845622962316156e+02 4.821109872339490732e-01 1.739327028142838572e-01
5.156074042465578486e+02 4.821352508806526216e-01 1.708930016042957689e-01
5.157302754705924599e+02 4.825748116640675711e-01 1.701643292625698578e-01
5.158531759753116148e+02 4.823950659306607824e-01 1.690505281493011047e-01
5.159761057676927294e+02 4.828644339151819120e-01 1.682747924059260214e-01
5.160990648547154933e+02 4.828944429637996860e-01 1.658829213936940938e-01
5.162220532433607332e+02 4.825231288559490572e-01 1.640696912458206036e-01
5.163450709406115493e+02 4.835398386173830332e-01 1.610091338271568695e-01
5.164681179534516104e+02 4.831851788362991895e-01 1.590909057962548445e-01
5.165911942888672002e+02 4.830239916593903615e-01 1.589070714957498964e-01
5.167142999538459662e+02 4.832128386257031893e-01 1.567868436603427895e-01
5.168374349553774891e+02 4.826379780309492662e-01 1.551587216338554676e-01
5.169605993004524862e+02 4.832191031575738815e-01 1.519816453056779260e-01
5.170837929960639485e+02 4.833743495328386985e-01 1.504625664943781693e-01
5.172070160492058903e+02 4.837304762513065515e-01 1.483768295822924799e-01
5.173302684668745997e+02 4.833227660119879254e-01 1.464453818783337802e-01
5.174535502560676150e+02 4.836249311010324958e-01 1.445632889209567118e-01
5.175768614237848624e+02 4.841598741402469708e-01 1.431501272728650243e-01
5.177002019770262677e+02 4.831886036583098454e-01 1.414831728780328035e-01
5.178235719227950540e+02 4.841619775457871588e-01 1.403119115369424463e-01
5.179469712680955809e+02 4.833620614194274467e-01 1.370535601246327673e-01
5.180704000199339134e+02 4.843648435693196364e-01 1.371053934841608424e-01
5.181938581853177084e+02 4.844068428728883213e-01 1.355594485324460585e-01
5.183173457712562140e+02 4.844606922312610364e-01 1.330945431506838084e-01
5.184408627847607249e+02 4.837906301334359838e-01 1.301210866921262976e-01
5.185644092328436727e+02 4.843111213583102259e-01 1.298863755419379373e-01
5.186879851225199900e+02 4.841546723692171095e-01 1.263248875128466508e-01
5.188115904608048368e+02 4.837411203977836083e-01 1.250729449636374113e-01
5.189352252547163289e+02 4.845972017895835426e-01 1.233004890813869103e-01
5.190588895112739465e+02 4.847429340782420382e-01 1.219600249245851309e-01
5.191825832374986476e+02 4.845871063347318985e-01 1.201980485871456672e-01
5.193063064404132092e+02 4.843773469022366607e-01 1.183233314842895290e-01
5.194300591270420000e+02 4.844821521126779773e-01 1.162596296151163777e-01
5.195538413044112076e+02 4.847792668718224895e-01 1.140904017093782308e-01
5.196776529795486113e+02 4.849168181587549808e-01 1.117731888110542471e-01
5.198014941594839229e+02 4.850136240223223982e-01 1.110619060169755201e-01
5.199253648512474228e+02 4.853308811024005243e-01 1.096162142711278875e-01
5.200492650618723474e+02 4.843811469234116651e-01 1.074213162584811698e-01
5.201731947983931832e+02 4.844386281732393496e-01 1.063063526685033011e-01
5.202971540678460087e+02 4.844888596647039525e-01 1.013953628089190317e-01
5.204211428772687213e+02 4.846057029275391281e-01 1.013085250441969620e-01
5.205451612337006964e+02 4.848735114576436800e-01 9.919647490499805542e-02
5.206692091441832417e+02 4.857873744617169920e-01 9.790259172150284073e-02
5.207932866157590297e+02 4.842281625112053178e-01 9.571355409755621935e-02
5.209173936554727788e+02 4.839979468214103964e-01 9.544599597929304124e-02
5.210415302703709131e+02 4.857286353296024206e-01 9.320233192439664194e-02
5.211656964675006520e+02 4.849963486834989457e-01 9.207094317159247865e-02
5.212898922539118303e+02 4.846688107151668201e-01 8.815769619865543305e-02
5.214141176366557602e+02 4.846424129473362874e-01 8.752719113080287272e-02
5.215383726227852321e+02 4.842601565185031265e-01 8.357863453400815601e-02
5.216626572193550828e+02 4.850337704912239811e-01 8.374575142443063669e-02
5.217869714334213995e+02 4.848742984215941298e-01 8.277810438398480741e-02
5.219113152720423159e+02 4.843409947071856680e-01 8.093426059730735034e-02
5.220356887422773298e+02 4.842533974288546483e-01 7.935441889446970265e-02
5.221600918511882128e+02 4.851294292724739332e-01 7.753890980007449585e-02
5.222845246058371913e+02 4.850892213373843020e-01 7.547147374625851057e-02
5.224089870132893338e+02 4.847797696204720896e-01 7.336354158451019458e-02
5.225334790806109595e+02 4.851925223041195778e-01 7.210956578881067003e-02
5.226580008148702063e+02 4.845834368993855445e-01 7.055868520777863750e-02
5.227825522231369177e+02 4.848680685846443184e-01 6.722090411357495299e-02
5.229071333124823013e+02 4.847348056042720121e-01 6.532434863733715957e-02
5.230317440899796111e+02 4.846613536644581166e-01 6.320399406032350953e-02
5.231563845627036926e+02 4.851251359633588778e-01 6.181663185291430551e-02
5.232810547377314379e+02 4.846874981598442989e-01 6.116496669024318322e-02
5.234057546221399662e+02 4.851034172932099375e-01 5.803323742581767419e-02
5.235304842230098075e+02 4.846814626177667340e-01 5.761516383603026981e-02
5.236552435474224012e+02 4.839004530152564154e-01 5.578300866138263814e-02
5.237800326024610058e+02 4.847706929464741243e-01 5.284377369566684024e-02
5.239048513952104713e+02 4.846224897157664357e-01 5.163045114465480978e-02
5.240296999327575804e+02 4.847068290003364033e-01 4.875900837722735304e-02
5.241545782221903664e+02 4.845436348257617376e-01 4.719862319300816011e-02
5.242794862705991363e+02 4.846965285137067592e-01 4.631775097010404352e-02
5.244044240850757888e+02 4.846851660463720179e-01 4.400274321462749327e-02
5.245293916727129044e+02 4.844487630197475969e-01 4.203166197244101454e-02
5.246543890406059063e+02 4.840210774260393922e-01 3.963254550416017707e-02
5.247794161958515815e+02 4.852458589487502749e-01 3.843622305097671443e-02
5.249044731455484225e+02 4.844372365031022198e-01 3.735510187647195224e-02
5.250295598967965134e+02 4.845322783117942955e-01 3.393459165197265648e-02
5.251546764566976435e+02 4.843423386993709334e-01 3.306632609203186135e-02
5.252798228323553076e+02 4.846316425149143625e-01 3.138706308701344483e-02
5.254049990308749329e+02 4.842211025059038887e-01 2.954653711517485348e-02
5.255302050593630838e+02 4.845800741452755411e-01 2.673816546718077447e-02
5.256554409249291666e+02 4.841778053660521497e-01 2.537804027093404358e-02
5.257807066346822467e+02 4.832111393150583800e-01 2.421797854680551865e-02
5.259060021957349136e+02 4.849001510242705870e-01 2.173511334761535352e-02
5.260313276152008939e+02 4.839927365015052052e-01 1.997513490253322033e-02
5.261566829001955057e+02 4.840482673689149862e-01 1.904916009494694862e-02
5.262820680578357724e+02 4.836182879034740534e-01 1.624114167800305708e-02
5.264074830952405364e+02 4.840316907780335409e-01 1.516722171276496667e-02
5.265329280195302317e+02 4.843449536347929074e-01 1.339449086852617654e-02
5.266584028378268840e+02 4.836787454994224689e-01 1.115511860865314731e-02
5.267839075572551337e+02 4.837833423872751060e-01 9.576997825718525092e-03
5.269094421849392802e+02 4.826799440454240808e-01 8.251756712652547066e-03
5.270350067280072608e+02 4.835365558066267444e-01 5.435407065887520872e-03
5.271606011935879224e+02 4.835959917426101429e-01 3.850908248215656471e-03
5.272862255888119307e+02 4.839162761686578440e-01 2.342453849119685572e-03
5.274118799208116570e+02 4.830110941697397520e-01 1.053896986164648553e-03
